0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:32:15 +0800] "GET /ch20/logos/20190923172144877.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:32:15 +0800] "GET /ch20/logos/20190923172741306.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:32:15 +0800] "GET /ch20/logos/20190923172116232.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:32:15 +0800] "GET /ch20/images/before/dian.jpg HTTP/1.1" 200 304
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:32:16 +0800] "GET /ch20/ HTTP/1.1" 200 10081
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:32:18 +0800] "GET /ch20/selectANotice?id=1 HTTP/1.1" 200 558
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:35:57 +0800] "GET /ch20/adminOrder/orderInfo HTTP/1.1" 200 1123
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:36:04 +0800] "GET /ch20/goodsDetail?id=13 HTTP/1.1" 200 4706
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:36:04 +0800] "GET /ch20/logos/20190923172116232.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:36:07 +0800] "POST /ch20/cart/putCart HTTP/1.1" 200 6487
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:36:07 +0800] "GET /ch20/images/before/inputbg.gif HTTP/1.1" 200 74
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:36:07 +0800] "GET /ch20/images/before/jxgw.jpg HTTP/1.1" 200 19838
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:36:07 +0800] "GET /ch20/images/before/bg.gif HTTP/1.1" 200 18212
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:36:07 +0800] "GET /ch20/images/before/sc.png HTTP/1.1" 200 1516
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:36:07 +0800] "GET /ch20/images/before/qjs.jpg HTTP/1.1" 200 17233
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:36:11 +0800] "GET /ch20/cart/orderConfirm HTTP/1.1" 200 5081
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:36:11 +0800] "GET /ch20/images/before/bnt_subOrder.gif HTTP/1.1" 200 4211
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:36:17 +0800] "GET /ch20/order/orderSubmit?amount=5666 HTTP/1.1" 200 4060
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:36:17 +0800] "GET /ch20/images/before/Chinapay_logo.jpg HTTP/1.1" 200 23898
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:36:22 +0800] "GET /ch20/adminOrder/orderInfo HTTP/1.1" 200 1423
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:36:31 +0800] "GET /ch20/userCenter HTTP/1.1" 200 2214
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:36:33 +0800] "GET /ch20/order/pay?ordersn=1 HTTP/1.1" 200 3581
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:36:40 +0800] "GET /ch20/adminOrder/orderInfo HTTP/1.1" 200 1365
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:36:49 +0800] "GET /ch20/userCenter HTTP/1.1" 200 2090
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:37:00 +0800] "GET /ch20/goodsDetail?id=15 HTTP/1.1" 200 4708
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:37:00 +0800] "GET /ch20/logos/20190923172741306.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:37:02 +0800] "POST /ch20/cart/putCart HTTP/1.1" 200 6492
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:37:03 +0800] "GET /ch20/cart/orderConfirm HTTP/1.1" 200 5081
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:37:05 +0800] "GET /ch20/order/orderSubmit?amount=245 HTTP/1.1" 200 4060
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:37:08 +0800] "GET /ch20/adminOrder/orderInfo HTTP/1.1" 200 1664
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:37:11 +0800] "GET /ch20/adminOrder/deleteorderManager?id=2 HTTP/1.1" 200 1365
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:37:14 +0800] "GET /ch20/userCenter HTTP/1.1" 200 2090
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:38:37 +0800] "GET /ch20/adminGoods/toAddGoods HTTP/1.1" 200 1708
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:39:02 +0800] "POST /ch20/adminGoods/addGoods HTTP/1.1" 200 2488
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:39:20 +0800] "GET /ch20/adminGoods/selectAGoods?id=16 HTTP/1.1" 200 947
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:39:20 +0800] "GET /ch20/logos/20190923173902241.jpg HTTP/1.1" 200 7082
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:44:50 +0800] "GET /ch20/adminGoods/selectAGoods?id=16 HTTP/1.1" 200 947
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:44:50 +0800] "GET /ch20/logos/20190923173902241.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:46:51 +0800] "GET /ch20/adminGoods/toAddGoods HTTP/1.1" 200 1708
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:48:15 +0800] "GET /ch20/adminGoods/selectGoods?act=deleteSelect HTTP/1.1" 200 4315
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:48:23 +0800] "GET /ch20/adminGoods/deleteGoods?ids=16 HTTP/1.1" 200 3960
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:48:35 +0800] "GET /ch20/ HTTP/1.1" 200 10081
